-13	-33
12	-25
-26	-21
-7	27
25	19
5	38
-35	-14
10	-27
-16	-33
-8	27
-10	32
-6	38
2	-28
-10	30
-20	18
-33	-6
12	-24
-8	-27
38	9
-15	-33
-9	32
-37	-5
6	37
-37	-13
-19	18
1	-29
-18	-27
-26	11
-38	-13
-26	-22
-16	-31
3	36
35	14
-27	11
11	-27
-11	37
-6	16
-36	-14
-28	-4
-5	38
-38	-12
6	38
35	15
-11	38
15	-9
-12	-33
34	17
32	5
7	35
12	30
16	-8
15	-17
36	15
-36	-7
-10	38
-27	-22
-6	39
-39	-13
-34	-6
31	3
-25	13
10	-28
-20	-21
0	-28
7	38
-32	-12
-35	-11
-17	-33
-11	39
17	-15
-10	39
7	39
-25	-22
-12	35
-23	14
-13	-34
-25	-23
39	10
24	21
23	21
-37	-6
-38	-5
35	16
30	19
6	39
-39	-5
-40	-13
-11	40
-41	-13
-9	27
-26	13
37	10
32	18
32	6
32	3
-12	40
-35	-15
-17	-32
1	-30
-12	-32
8	38
-24	-23
-13	35
8	39
-8	19
16	-7
13	28
-13	40
37	9
-36	-15
-39	-6
-12	41
26	4
6	40
18	-14
-14	40
-40	-12
40	10
1	38
25	4
8	35
-30	-6
40	9
-11	-33
2	38
6	41
34	18
17	-2
8	40
